Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Owen Wheeler","ME",,22.2,9.52941203199869,6.352941354665794,1.5,1.5882353386664485,0.21238938,0.14159292,0.07079646,0.28421053,1.8970588767404801,0.34328358,0.60913706,6.352941354665794,7.074283806262959,-0.7213424515971649,"Owen Wheeler","sa3045077",
"Avery Laine","LMU",,67.1,7.752474954719356,3.876237477359678,2,0.9356435290178533,0.19078947,0.09539474,0.09539474,0.29104478,1.5891088508715923,0.34975369,0.71976967,4.811881006377532,5.534739260808616,-0.7228582544310838,"Avery Laine","sa3062631",
"Cooper Walls","HAW",,60.1,6.712707323795283,2.237569107931761,3,0.2983425477242348,0.16853933,0.05617978,0.11235955,0.2875,1.3922652227130958,0.34715026,0.72961373,3.729281846552935,4.452184030770317,-0.7229021842173817,"Cooper Walls","sa3060860",
"Chris Batuyios","SJU",,30.2,7.923913207757228,4.1086957373556,1.92857143,1.467391334769857,0.19565217,0.10144928,0.0942029,0.28099174,1.5652174237545142,0.3258427,0.65909091,5.576087072125457,6.300036787400851,-0.7239497152753938,"Chris Batuyios","sa3026729",
"Raymond Olivas","UCSB",,24.2,10.581081353808257,2.5540541198847517,4.14285714,1.0945946228077508,0.27619048,0.06666667,0.20952381,0.22340426,1.135135164393223,0.29032258,0.68345324,4.0135136169617525,4.737983651227373,-0.7244700342656207,"Raymond Olivas","sa3065833",
"Derek Duval","COFC",21,14.2,9.204545255042309,6.136363503361539,1.5,0.6136363503361539,0.2238806,0.14925373,0.07462687,0.25454545,1.6363636008964104,0.33333333,0.73170732,4.9090908026892315,5.6347462806819895,-0.725655477992758,"Derek Duval","sa3059103",
"Landon Mack","RUTG",,80.1,7.842323403185978,1.904564255059452,4.11764706,1.120331914740854,0.20588235,0.05,0.15588235,0.25961538,1.21991697382893,0.30603448,0.73684211,4.0331948930670745,4.758920528406743,-0.7257256353396686,"Landon Mack","sa3059883",
"Braylon Myers","ALA",,41,12.731707317073171,3.073170731707317,4.14285714,0.6585365853658537,0.3452381,0.08333333,0.26190476,0.18367347,1,0.27906977,0.79908676,2.6341463414634148,3.35992036679896,-0.7257740253355451,"Braylon Myers","sa3038634",
"Kris Alcorn","LIN",,26.2,5.737500136792663,8.775000209212308,0.65384615,1.0125000241398816,0.11971831,0.18309859,-0.06338028,0.23809524,1.9125000455975543,0.25882353,0.67474048,7.762500185072426,8.48992434382439,-0.7274241587519636,"Kris Alcorn","sa3058479",
"Mason Ruh","NIU",21,27.1,8.231707125600789,4.609755990336442,1.78571429,1.9756097101441892,0.18939394,0.10606061,0.08333333,0.28070175,1.682926790122828,0.31325301,0.60096154,6.914633985504662,7.642950178937216,-0.7283161934325539,"Mason Ruh","sa3041279",
