Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Patrick Benn","HALL",,2,0,3.0422536028540597,15,2,0,0,0,23.2,102,23,9,8,1,10,1,0,0,11,"Patrick Benn","sa3026961",
"Wilbur Berrios","UNCO",24,0,0,12.9375,12,0,0,0,0,16,84,26,25,23,1,11,2,3,0,11,"Wilbur Berrios","sa3027065",
"Conner Bivins","NWST",,0,1,4.378378491231003,14,0,0,0,0,12.1,65,19,7,6,2,6,4,1,0,11,"Conner Bivins","sa3027185",
"Ben Bosse","TAR",,0,1,7.941176693332243,10,3,0,0,1,11.1,60,12,11,10,2,12,1,2,0,11,"Ben Bosse","sa3027426",
"Gavin Brasosky","KU",22,0,0,2.025000048279763,13,1,0,0,0,13.1,67,9,4,3,1,10,8,2,0,11,"Gavin Brasosky","sa3027602",
"Jake Brown","CMU",20,2,0,7.534883888042447,12,0,0,0,0,14.1,77,19,13,12,2,15,2,4,0,11,"Jake Brown","sa3027843",
"Reece Bueno","CP",,2,0,3,8,0,0,0,0,12,61,10,5,4,0,7,7,2,0,11,"Reece Bueno","sa3027983",
"Bauer Burkart","MRSH",,0,0,10.565217610342971,7,0,0,0,0,7.2,42,10,11,9,2,7,2,0,0,11,"Bauer Burkart","sa3028055",
"Gavin Chillot","PITT",20,1,0,3.2926828502403156,7,0,0,0,0,13.2,62,17,6,5,0,6,0,1,1,11,"Gavin Chillot","sa3028844",
"Evan Chrest","FSU",21,2,1,2.70000010299683,4,4,0,0,0,16.2,70,15,6,5,1,5,2,1,0,11,"Evan Chrest","sa3028874",
"Canaan Clayton","UNO",21,1,1,12.960000494384785,8,2,0,0,0,8.1,53,13,13,12,2,9,3,1,0,11,"Canaan Clayton","sa3029010",
"Christopher Collina","WAG",,1,0,3.6,12,4,0,0,0,15,74,11,7,6,3,11,9,1,0,11,"Christopher Collina","sa3029177",
