Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Dominic Hellman","ORE",21,223,0.107623318,0.188340807,0.571428571,0.326203208,0.426008968,0.566844919,0.992853887,0.240641711,3.2681142484762655,0.358208955,-0.1701918262988329,49.93262837833722,10.978840053146675,0.4404170684215734,128.18426788556252,"Dominic Hellman","sa3033562",
"Ty DePerno","NAVY",,197,0.157360406,0.16751269,0.939393939,0.307189542,0.43877551,0.437908496,0.876684006,0.130718954,3.903060160128849,0.352941176,-1.406919825822115,40.06204298292548,8.799615787018844,0.4319169691630772,128.14757706391725,"Ty DePerno","sa3059038",
"Jack Goodman","NE",21,234,0.111111111,0.209401709,0.530612244,0.334975369,0.405982905,0.546798029,0.952780934,0.21182266,6.507320696089645,0.391891891,-2.150472437031567,49.62740297093497,10.89925924911605,0.42314944741053456,128.14299421992578,"Jack Goodman","sa3032460",
"Brody Donay","FLA",21,238,0.117647058,0.25210084,0.466666666,0.303030303,0.417721518,0.646464646,1.064186164,0.343434343,7.094352103227567,0.35,0.6236408483237028,56.37284154253382,12.362009679845755,0.4521472205089617,128.08856173956153,"Brody Donay","sa3030451",
"Tristan Moore","UNO",23,231,0.095238095,0.177489177,0.536585365,0.301020408,0.389610389,0.607142857,0.996753246,0.306122449,5.151436783274647,0.310344827,-2.399826060049236,48.30174195874731,10.500053481350344,0.4344567462995455,127.77667851431744,"Tristan Moore","sa3038315",
"Christian Butera","BRWN",,139,0.093525179,0.294964028,0.31707317,0.302521008,0.391304347,0.50420168,0.895506027,0.201680672,7.886261090475772,0.426666666,0.8686526026576757,26.640454712206772,5.785623702103546,0.40790847462156543,127.74236674131127,"Christian Butera","sa3065011",
"Nick Groves","ILL",21,203,0.197044334,0.152709359,1.29032258,0.324324324,0.492537313,0.385135135,0.877672448,0.060810811,5.714756852554737,0.403361344,0.38258241955190897,45.27216314801371,9.811988125530835,0.4394757643860964,127.67044471526079,"Nick Groves","sa3032788",
"Tommy Townsend","BUT",20,183,0.169398907,0.240437158,0.704545454,0.268115942,0.423076923,0.565217391,0.988294314,0.297101449,4.568082478259654,0.298850574,-0.9571703020483255,39.9749833827251,8.663082454108572,0.43771344194045436,127.6670601183182,"Tommy Townsend","sa3044002",
"Nick Shuhet","RID",,232,0.099137931,0.189655172,0.522727272,0.317460317,0.424242424,0.497354497,0.921596921,0.17989418,5.289087553836458,0.368794326,-0.09709930815733969,48.072834880307816,10.404108912900591,0.4282401327962999,127.62001805397591,"Nick Shuhet","sa3042231",
"Jackson Lovich","MIZ",21,216,0.092592592,0.24074074,0.384615384,0.356756756,0.429906542,0.621621621,1.051528163,0.264864865,7.580241857145432,0.43548387,0.8905584700405598,50.97060230291505,11.027998595601506,0.45120240594739114,127.60961372576287,"Jackson Lovich","sa3036600",
"Reece Moroney","URI",,287,0.156794425,0.160278745,0.978260869,0.355555555,0.464285714,0.462222222,0.926507936,0.106666667,7.541055751437247,0.428571428,-1.4625935275107622,65.08482026605365,14.067741598174543,0.44534660982234137,127.57457299692805,"Reece Moroney","sa3038389",
"Jacob Sanchez","RGV",,241,0.124481327,0.13692946,0.909090909,0.326530612,0.436974789,0.484693877,0.921668666,0.158163265,5.051610638372488,0.356687898,0.47806769306771457,50.28987119929047,10.851745991270253,0.4339979821894349,127.51587691867113,"Jacob Sanchez","sa3041481",
