Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Bryce Hughes","TXSO",,256,0.09375,0.125,0.75,0.352941176,0.455284552,0.544117647,0.999402199,0.191176471,8.854962811175747,0.389221556,4.292018014006317,63.61552967058364,16.072911872732075,0.4622827506646877,133.8073766595545,"Bryce Hughes","sa3034258",
"Jason Claiborn","MRST",22,257,0.163424124,0.151750972,1.076923076,0.328358208,0.460629921,0.422885572,0.883515493,0.094527364,7.099748040943391,0.395061728,2.5681756641715765,55.82035647012242,14.092500549330795,0.43811772869327875,133.7724051196912,"Jason Claiborn","sa3058871",
"Aidan McAskie","CHSO",22,237,0.135021097,0.215189873,0.62745098,0.317460317,0.44680851,0.566137566,1.012946076,0.248677249,5.5976200388233295,0.377952755,-0.13785300543531775,59.083432624984,14.903338546800821,0.4526575248292152,133.73315258321355,"Aidan McAskie","sa3037421",
"Gus Gregory","WRST",21,192,0.09375,0.145833333,0.642857142,0.343558282,0.424083769,0.564417177,0.988500946,0.220858895,8.419973460364393,0.383458646,0.31675646104849875,43.46735626441399,10.951698839487234,0.44129905026620597,133.68130835051664,"Gus Gregory","sa3032688",
"MJ Castaneda","NKU",,12,0.083333333,0.333333333,0.25,0.3,0.416666666,0.6,1.016666666,0.3,1.60119047125,0.4,-0.0018819845281541348,2.7155527127287775,0.6833241236708552,0.4412092516819636,133.62437313154928,"MJ Castaneda","sa3028603",
"George Cooper","HARV",,187,0.053475935,0.128342245,0.416666666,0.349693251,0.405405405,0.509202453,0.914607858,0.159509202,4.585091032169673,0.376811594,-0.4311812138184905,37.47930779889157,9.422808526306655,0.41702254205136685,133.58511849521454,"George Cooper","sa3029336",
"Nick Gallello","HOF",,48,0.083333333,0.166666666,0.5,0.375,0.44680851,0.475,0.92180851,0.1,3.366198657812351,0.4375,-0.7768815821036696,10.608311251003187,2.664076641399303,0.43231632861685243,133.53471759480354,"Nick Gallello","sa3059260",
"Tim Denet","LEM",,199,0.150753768,0.271356783,0.555555555,0.294871794,0.437185929,0.512820512,0.950006441,0.217948718,6.683325472303332,0.395833333,0.12080055475234985,44.26379855473677,11.106536929804486,0.44156790827985987,133.4965446044345,"Tim Denet","sa3059035",
"Ty Long","USM",,8,0.125,0.125,1,0.333333333,0.428571428,0.5,0.928571428,0.166666667,2.64285714,0.4,-0.003338657319545746,1.6554994760181208,0.4153295932437676,0.4310304437364851,133.4897338673186,"Ty Long","sa3066439",
"Cam Cannarella","CLEM",21,292,0.178082191,0.143835616,1.238095238,0.353448275,0.479452054,0.530172413,1.009624467,0.176724138,5.5209926020251725,0.411764705,-1.939339960925281,71.4526133267756,17.912082049119054,0.46260416609783694,133.45518175049207,"Cam Cannarella","sa3028360",
"Gio Colasante","HARV",,176,0.096590909,0.301136363,0.320754716,0.314102564,0.382857142,0.564102564,0.946959706,0.25,7.09595913710874,0.414893617,1.204939348390326,35.23519971330115,8.829082750868288,0.4167895402227129,133.43574810120376,"Gio Colasante","sa3029126",
"Sam Stephenson","NWST",,270,0.111111111,0.225925925,0.491803278,0.315789473,0.43076923,0.545454545,0.976223775,0.229665072,5.989319692383232,0.387323943,0.9758021500892937,58.923209295237726,14.7394175684101,0.4442769348621368,133.3593315384487,"Sam Stephenson","sa3043054",
"Bubba Rocha","CBU",,200,0.15,0.21,0.714285714,0.333333333,0.461928934,0.474358974,0.936287908,0.141025641,4.856521189590843,0.433628318,-0.6578532615676522,44.60871036483497,11.156005815999215,0.44582832283174934,133.34859159059377,"Bubba Rocha","sa3040933",
"Alex Fernandes","SJSU",22,257,0.124513618,0.120622568,1.032258064,0.361111111,0.447058823,0.509259259,0.956318082,0.148148148,8.558228071110067,0.405405405,2.21476611495018,57.9176615812763,14.474225986836794,0.43463614501205144,133.31740639013688,"Alex Fernandes","sa3031256",
"Anthony Sanguedolce","CHSO",,51,0.215686274,0.078431372,2.75,0.297297297,0.48,0.432432432,0.912432432,0.135135135,9.867626238791884,0.333333333,1.085557826794684,12.672620870377811,3.165512018110546,0.45191158294677736,133.29626353605525,"Anthony Sanguedolce","sa3060486",
"Chris Rembert","AUB",,255,0.14117647,0.14117647,1,0.351219512,0.472440944,0.565853658,1.038294602,0.214634146,3.8979730289930945,0.3875,-1.3954441249370575,62.847007842678515,15.69254513265559,0.46238637909175845,133.27902436118748,"Chris Rembert","sa3060352",
"Ryan Scialabba","CCSU",,28,0.178571428,0.142857142,1.25,0.25,0.464285714,0.4,0.864285714,0.15,2.64285714,0.266666666,-0.047188639640808105,6.217730806411472,1.552387462199894,0.44122845360210966,133.27488134664267,"Ryan Scialabba","sa3066646",
"Dawson Bryce","CLT",,257,0.042801556,0.229571984,0.186440677,0.340425531,0.389105058,0.6,0.989105058,0.259574469,4.759504740720617,0.402439024,-0.5273547768592834,54.62907896536472,13.631397258220938,0.4354053362334285,133.24919041909067,"Dawson Bryce","sa3027932",
"Grayson Fitzwater","VMI",21,253,0.154150197,0.134387351,1.147058823,0.315270935,0.424603174,0.640394088,1.064997262,0.325123153,6.353270268154569,0.297468354,0.15325061976909637,59.27445811990447,14.781877452766375,0.45414725963085417,133.22324133849165,"Grayson Fitzwater","sa3031417",
